Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2007-04-11 00:00:00-04:00,34.420475006103516,34.43366954882765,34.420475006103516,34.420475006103516,1900,0.0,0.0,0.0
2007-04-12 00:00:00-04:00,34.44354248046875,34.44354248046875,34.42045267483213,34.44354248046875,6100,0.0,0.0,0.0
2007-04-13 00:00:00-04:00,34.43366554072985,34.46665063539985,34.380889892578125,34.380889892578125,3400,0.0,0.0,0.0
2007-04-16 00:00:00-04:00,34.39407760250408,34.39407760250408,34.35449650050601,34.36769104003906,7600,0.0,0.0,0.0
2007-04-17 00:00:00-04:00,34.354495553005044,34.43695953536146,34.3511962890625,34.3511962890625,28100,0.0,0.0,0.0
2007-04-18 00:00:00-04:00,34.367674879944836,34.39406143000259,34.35448034661601,34.36107635498047,6300,0.0,0.0,0.0
2007-04-19 00:00:00-04:00,34.37097485810981,34.49302241542903,34.32479524541609,34.479827880859375,47500,0.0,0.0,0.0
2007-04-20 00:00:00-04:00,34.48313085497453,34.48313085497453,34.45344251984749,34.46004104614258,4900,0.0,0.0,0.0
2007-04-23 00:00:00-04:00,34.49961842441378,34.52271074736079,34.45343881172006,34.479827880859375,1700,0.0,0.0,0.0
2007-04-24 00:00:00-04:00,34.49962484659163,34.73712147985565,34.443549951682236,34.71733093261719,398500,0.0,0.0,0.0
2007-04-25 00:00:00-04:00,34.727220587044535,34.770103454589844,34.727220587044535,34.770103454589844,16300,0.0,0.0,0.0
2007-04-26 00:00:00-04:00,34.776704037453335,34.83277893066406,34.73052441756208,34.83277893066406,48200,0.0,0.0,0.0
2007-04-27 00:00:00-04:00,34.80309311070563,34.83277893066406,34.80309311070563,34.83277893066406,8300,0.0,0.0,0.0
2007-04-30 00:00:00-04:00,34.8195810307619,34.84267083847725,34.74371559824017,34.83607482910156,15500,0.0,0.0,0.0
2007-05-01 00:00:00-04:00,34.82054111660702,34.87346611207536,34.82054111660702,34.840389251708984,8600,0.293,0.0,0.0
2007-05-02 00:00:00-04:00,34.846994043548655,34.860225288781756,34.79737750482503,34.8271484375,4700,0.0,0.0,0.0
2007-05-03 00:00:00-04:00,34.853621279255115,34.89000658355184,34.79738783941299,34.830467224121094,17200,0.0,0.0,0.0
